Código;Descripción;Ref.prov;Prov.;Costo;Venta;Stock();Margen;Real
;LEAF COAT 500 ML;BIOBIZZ-11;1;7,12;14;0;0;78,79
;BIOBLOOM 5 L;BIOBIZZ-12;1;25,33;50;0;0;79,43
;BIOGROW 5 L;BIOBIZZ-13;2;28,21;52;0;0;67,56
;ROOT JUICE 1 L;BIOBIZZ-14;2;35,09;62;0;0;46,02
;LIGHT MIX 50 L;BIOBIZZ-15;2;6,75;12;0;0;61,63
;BIO HEAVEN 1 L;BIOBIZZ-16;2;46,99;85,99;0;0;51,24
;ALG-A-MIC 5 L;BIOBIZZ-17;2;50,42;90;0;0;62,28
;FISH MIX 1 L;BIOBIZZ-18;2;7,51;14;0;0;54,06
;COCO MIX 50 L BIOBIZZ;BIOBIZZ-19;2;6,67;15;0;0;104,5
;STARTERS PACK BIOBIZZ;BIOBIZZ-20;2;53,31;99;0;0;53,48
;LIGHT MIX 20 L;BIOBIZZ-21;2;3,34;7;0;0;90,42
;BIOGROW 10 L;BIOBIZZ-22;2;48,72;90;0;0;67,94
;MISSING LINK 1 L;BIONOVA-01;6;53,92;92;0;0;41,01
;AK AUTOMATIC 3 UNID.;BLIM BURN-01;17;9,8;21,01;0;0;77,14
;CRITICAL AUTOMATIC 3 UNID.;BLIM BURN-02;17;9,15;21,01;0;0;89,73
;ORIENT AUTOMATIC 3 UNID.;BLIM BURN-03;17;9,15;21,01;0;0;89,73
;SUPER AUTOMATIC 3 UNID.;BLIM BURN-04;17;9,15;21,01;0;0;89,73
;GUANABANA 6 UNID.;BLIM BURN-05;17;29,22;57;0;0;61,23
;BOLSA DE CONSERVACION 50x55 CM;BOLSA-01;6;1,07;2;0;0;54,21
;BOLSA DE ALUMINIO AUTOCIERRE SELLABLE GRANDE;BOLSA-02;2;1,03;2;0;0;60,19
;BOLSA CONSERVACION 59x97 CM;BOLSA-03;6;1,33;3;0;0;86,47
;BOLSA CONSERVACION 48x60 CM;BOLSA-04;6;0,93;1;-10;0;-10,75
;BOMBA 1000L/H AQUAKING HX2500;BOMBA AGUA-01;2;15,9;37;0;0;92,33
;BOMBA 2500L/H AQUAKING HX4500;BOMBA AGUA-02;2;35,53;65;0;0;51,2
;BOMBA 3600L/H AQUAKING Q2007;BOMBA AGUA-03;2;28,5;65;-2;0;88,49
;BOMBA 5000L/H AQUAKING Q2503;BOMBA AGUA-04;2;29,9;68;0;0;87,96
;BOMBA 7000L/H AQUAKING Q4003;BOMBA AGUA-05;2;31;70;0;0;86,61
;BOMBA 11000L/H AQUAKING Q5503;BOMBA AGUA-06;2;36;80,01;0;0;83,67
;BOMBA AGUA EXTERIOR RP 3500L/H;BOMBA AGUA-07;2;127,05;210;0;0;36,6
;BOMBA DE AIRE 2-SALIDAS 360L/H;BOMBA AIRE-01;2;13,5;29;0;0;77,56
;BOMBA DE AIRE 1-SALIDA 150L/H;BOMBA AIRE-02;2;9,2;18;0;0;61,74
;BOMBA DE AIRE V-60;BOMBA AIRE-03;6;61,92;120;0;0;60,16
;RP PUMP MICRA 400L/H;BOMBA AIRE-04;2;18,15;33;0;0;50,25
;SYLVANIA GROLUX 250 W;BOMBILLA-01;2;15,61;30;0;0;58,81
;SYLVANIA GROLUX 400 W;BOMBILLA-02;2;17,79;34;0;0;57,95
;SYLVANIA GROLUX 600 W;BOMBILLA-03;2;19,9;45;-1;0;86,88
;SYLVANIA SHP TS 600 W;BOMBILLA-04;2;22,87;43;0;0;55,4
;PHILIPS MASTER SON-T PIA PLUS 250 W;BOMBILLA-05;2;18,09;35,01;0;0;59,92
;PHILIPS MASTER SON-T PIA PLUS 400 W;BOMBILLA-06;2;18,03;35,01;0;0;60,45
;PHILIPS MASTER SON-T PIA PLUS 600 W;BOMBILLA-07;2;22,9;52,01;0;0;87,69
;PHILIPS MASTER SON-T PIA PLUS 1000 W;BOMBILLA-08;2;57,47;105;0;0;51
;PHILIPS MASTER SON-T PIA GREEN POWER 400 W;BOMBILLA-09;2;21,18;40;0;0;56,09
;PHILIPS MASTER SON-T PIA GREEN POWER 600 W;BOMBILLA-10;2;25,8;57;-10;0;82,6
;PHILIPS HPI-T 250 W HALOGENUROS METALICOS;BOMBILLA-11;2;22,87;44;0;0;58,99
;PHILIPS HPI-T 400 W HALOGENUROS METALICOS;BOMBILLA-12;2;24,08;45;0;0;54,44
;SUNMASTER 600 W HALOGENUROS METALICOS;BOMBILLA-13;2;39,5;80,01;0;0;67,39
;PHYTOLITE 105 W CRECIMIENTO 6400 K BAJO CONSUMO;BOMBILLA-14;2;21,99;42;0;0;57,84
;PURE LIGHT CFL 200 W CRECIMIENTO 6400 K BAJO CONSU;BOMBILLA-15;2;25,29;50;0;0;63,38
;PHYTOLITE 200 W FLORACION 2700 K BAJO CONSUMO;BOMBILLA-18;2;32,35;60;0;0;53,29
;PHYTOLITE 125 W CRECIMIENTO 6400 K BAJO CONSUMO;BOMBILLA-19;2;16,7;30;0;0;48,44
;SUNMASTER 600 W DUAL;BOMBILLA-20;2;24,08;45;0;0;54,44
;GREEN LED 3,5 W PURE FACTORY;BOMBILLA-22;2;9,5;22;-1;0;91,37
;OSRAM 1000 W;BOMBILLA-24;14;60,84;110;0;0;49,42
;FLUORESCENTE 55 W DUAL 2  2700 + 6400 K;BOMBILLA-25;2;3,87;7,01;0;0;49,61
;PURE LIGHT PLL 55 W GROW (6400K?);BOMBILLA-26;2;3,57;7,01;0;0;62,18
;FLUORESCENTE 55 W BLOOM TC-L;BOMBILLA-27;2;3,97;7,01;0;0;45,84
;DARK NIGTH 100 W;BOMBILLA-28;2;4,2;8;0;0;57,38
;PURE LIGHT HPS 600 W BLOOM;BOMBILLA-29;2;13,19;26;0;0;62,93
;TUBO FLUORESCENTE SYLVANIA GROLUX 18 W;BOMBILLA-30;6;4,72;9;0;0;57,63
;TUBO FLUORESCENTE TRIFOSFORO 18 W;BOMBILLA-31;6;3,05;6;0;0;62,62
;REJILLA RED EYE AMAZED 5 REJILLAS;BOQUILLA-01;1;0,18;0;0;0;-100
;BOQUILLA RAW;BOQUILLA-02;18;0,1;0,5;-500;0;310
;JILTER;BOQUILLA-03;4;0,85;1;-165;0;-2,35
;BOQUILLAS TUNE 10 FILTROS;BOQUILLA-04;6;0,87;1;0;0;-4,6
;BOQUILLAS TUNE 40 FILTROS;BOQUILLA-05;20;2,04;4,01;0;0;62,25
;BOQUILLAS TUNE 100 FILTROS;BOQUILLA-06;6;5,44;9,99;-3;0;51,84
;BRIDA METALICA 200 MM;BRIDA-01;2;0,96;1;0;0;-13,54
;WHITE DWARF 5 UNID. FEMINIZADAS;BUDDHA SEED-01;2;20,35;40;0;0;78,67
;RED DWARF 5 UNID. FEMINIZADAS;BUDDHA SEED-02;2;15,95;30;0;0;70,97
;DEIMOS 5 UNID. FEMINIZADAS;BUDDHA SEED-03;2;20,35;40;0;0;78,67
;WHITE DWARF 10 UNID. REGULARES;BUDDHA SEED-04;1;20,35;40;0;0;78,67
;ASSORTED AUTO 10 UNID. FEMINIZADAS;BUDDHA SEED-05;2;17,88;35;0;0;77,96
;SYRUP 5 UNID. FEMINIZADAS;BUDDHA SEED-06;2;17,88;35;0;0;77,96
;BUDDHA PURPLE KUSH 5 UNID. FEMINIZADAS;BUDDHA SEED-07;2;17,88;35;0;0;77,96
;QUASAR 5 UNID. FEMINIZADAS;BUDDHA SEED-08;2;23,1;45;0;0;77,1
;MAGNUM 5 UNID. FEMINIZADAS;BUDDHA SEED-09;2;20,35;40;0;0;78,67
;BUZO TALLA L;BUZO-01;6;1,82;3;0;0;36,26
;BUZO TALLA XL;BUZO-02;6;1,82;3;0;0;36,26
;BUZO TALLA XXL;BUZO-03;6;1,82;3;0;0;36,26
;ENCHUFE INYECTADO+1,5 METROS;CABLE-01;2;2,4;5;0;0;72,08
;CABLE BLANCO 3x1,5 MM;CABLE-02;2;0,72;1;0;0;15,28
;CABLE CALENTADOR AQUACALOR 25 W;CABLE-03;2;14,46;28;0;0;60,03
;CABLE CALENTADOR AQUACALOR 50 W;CABLE-04;2;18,39;35,01;0;0;57,31
;CABLE UNION TNEON;CABLE-05;2;2,13;4,01;0;0;55,4
;BOTE HERMETICO 0,06 L MINIVAC;CAJA-03;2;2,72;5;0;0;51,84
;BOTE HERMETICO 0,12 L MINIVAC;CAJA-04;2;3,93;7,01;0;0;47,33
;BOTE HERMETICO 0,29 L MINIVAC;CAJA-05;2;4,54;9;0;0;63,88
;BOTE HERMETICO 0,57 L MINIVAC;CAJA-06;2;5,14;9,99;0;0;60,7
;BOTE HERMETICO 1,30 L MINVAC;CAJA-07;2;6,41;12;0;0;54,76
;BOTE HERMETICO 2,35 L MINIVAC;CAJA-08;2;7,99;15;0;0;55,19
;BOTE HERMETICO 3,80 L MINIVAC;CAJA-09;2;11,98;22;-1;0;51,75
;BOTE HERMETICO 10 L MINIVAC;CAJA-10;2;35,09;60;0;0;41,32
;CAJA CEDRO 00 BOX MEDIANA;CAJA-12;1;61,71;99,99;0;0;33,92
;CAJA CEDRO 00 BOX GRANDE;CAJA-13;2;85,91;140;0;0;34,68
;CAJA FUMADOR 00 MINI;CAJA-14;2;17,55;32;0;0;50,71
;CALEFACTOR CERAMICO DE AIRE FORZADO;CALEFACTOR-01;2;39,33;70;0;0;47,09
;CALENTADOR 100 W;CALENTADOR-01;2;11,74;22;0;0;54,86
;CALENTADOR 200 W;CALENTADOR-02;2;11,9;25;0;0;73,61
;CALENTADOR 300 W;CALENTADOR-03;2;13,19;25;0;0;56,63
;SOBRE CALIBRADOR EC 1.413   20 ML;CALIBRADOR-01;2;0,83;1;0;0;0
;SOBRE CALIBRADOR PH 7.01  20 ML;CALIBRADOR-02;2;0,82;1;-2;0;1,22
;SOBRE CALIBRADOR PH 4.01  20 ML;CALIBRADOR-03;2;0,82;1;-2;0;1,22
;BOTELLA CALIBRADORA 230 ML EC 1413;CALIBRADOR-05;2;9,56;18;0;0;55,65
;BOTELLA CALIBRADORA 100 ML EC 3.0;CALIBRADOR-06;1;4,4;8;0;0;50,23
;BOTELLA CALIBRADORA 230 ML PH 7.01;CALIBRADOR-07;2;8,35;16;0;0;58,32
;BOTELLA CALIBRADORA 230 ML PH 4.01;CALIBRADOR-08;2;8,35;16;0;0;58,32
;LIMPIADOR DE ELECTRODOS 20 ML;CALIBRADOR-09;1;0,7;1;0;0;18,57
;BOTELLA LIQUIDO ALMACENAMIENTO DE ELECTRODOS 230 M;CALIBRADOR-10;2;9,56;18;0;0;55,65
;BOTELLA CALIBRADORA 100 ML EC 12.88;CALIBRADOR-11;1;4,43;8;0;0;49,21
;LIMPIADOR DE ELECTRODOS 230 ML;CALIBRADOR-12;2;9,62;18;0;0;54,68
;TERRA FLORES 1 L CANNA;CANNA-01;2;5,68;13;-1;0;89,08
;TERRA FLORES 5 L CANNA;CANNA-02;2;22,31;42;0;0;71,13
;TERRA VEGA 1 L CANNA;CANNA-03;2;5,68;13;0;0;89,08
;TERRA VEGA 5 L CANNA;CANNA-04;2;20,28;42;0;0;88,26
;BIOVEGA 1 L;CANNA-05;2;7,95;18;-5;0;87,17
;BIOVEGA 5 L;CANNA-06;2;34,97;62;0;0;61,17
;BIOFLORES 1 L;CANNA-07;2;9,62;18;0;0;54,68
;BIOFLORES 5 L;CANNA-08;2;31,79;65;-1;0;85,88
;BIOBOOST 250 ML CANNA;CANNA-09;2;10,13;19;0;0;54,99
;CANNA COCO A+B 1 L;CANNA-10;2;7,54;17;0;0;86,34
;CANNA COCO A+B 5 L;CANNA-11;2;23,96;50;0;0;89,69
;BIOBOOST 5 L CANNA;CANNA-12;2;88,94;145;0;0;48,21
;ACIDO ORGANICO 1 L;CANNA-13;2;5,65;11;0;0;60,89
;PH + 5 %  1 L;CANNA-14;2;4,62;9;0;0;61,04
;PH- CRECIMIENTO 1 L;CANNA-15;2;3,82;9;0;0;94,76
;PH- FLORACIËN 1 L;CANNA-16;2;7,69;14;-4;0;50,46
;CALCIO CANNA 1 L;CANNA-17;2;5,03;11;-1;0;80,72
;HIERRO CANNA 1 L;CANNA-18;2;6,08;11;0;0;49,51
;POTASIO CANNA 1 L;CANNA-19;2;7,66;14;0;0;51,04
;MAGNESIO CANNA 1 L;CANNA-20;2;4,94;11;-2;0;84,01
;NITROGENO 20 % CANNA 1 L;CANNA-21;2;6,52;15;0;0;90,18
;FOSFORO CANNA 1 L;CANNA-22;2;9,86;19;0;0;59,23
;TRACE MIX CANNA 1 L;CANNA-23;2;6,62;13;0;0;62,24
;CANNAZYM 1 L CANNA;CANNA-24;2;8,88;19;-1;0;76,8
;CANNAZYM 5 L CANNA;CANNA-25;2;36,67;70;-1;0;73,55
;PK 13-14 1 L CANNA;CANNA-26;2;8,41;16;-2;0;57,19
;PK 13-14 5 L CANNA;CANNA-27;2;26,42;53;0;0;82,36
;RHIZOTONIC 250 ML;CANNA-28;2;7,52;17;0;0;86,84
;RHIZOTONIC 1 L;CANNA-29;2;16,69;36;0;0;78,25
;TRICODERMA 10 GR;CANNA-30;2;10,85;20;0;0;52,35
;COCO CANNA MEDIUM 50 L;CANNA-31;2;7,88;15;-100;0;73,1
;TERRA PROFESIONAL 50 L CANNA;CANNA-32;2;5,62;12;-234;0;94,13
;ARCILLA EXPANDIDA CANNA 45 L;CANNA-33;2;7,81;17;-10;0;97,82
;BIOBOOST 1 L CANNA;CANNA-34;2;25,92;47;0;0;49,85
;BIOTERRA 50 L CANNA;CANNA-35;2;9,35;21,01;0;0;85,67
;BOOST ACCELERATOR 1 L CANNA;CANNA-36;2;30,01;64;0;0;76,24
;BOOST ACCELERATOR 250 ML CANNA;CANNA-37;2;14,25;26;0;0;50,81
;AQUA VEGA A+B 1 L;CANNA-38;2;7,74;17;-1;0;81,52
;AQUA FLORES A+B 1 L;CANNA-39;2;9,37;17;0;0;49,95
;COGR VEGA A+B 1 L;CANNA-40;2;9,12;18;0;0;63,16
;RHIZOTONIC 5 L;CANNA-41;2;64,78;126,01;-2;0;76,83
;COGR FLORES A+B 1 L;CANNA-42;2;9,12;18;0;0;63,16
;FLUSH  1 L CANNA;CANNA-43;2;6,45;12;0;0;53,8
;BIORHIZOTONIC  1 L;CANNA-44;2;17,44;38,01;0;0;80,1
;FLUSH  250 ML CANNA;CANNA-45;2;3,22;6;0;0;54,04
;BIORHIZOTONIC 250 ML;CANNA-46;2;9,5;18;-1;0;56,63
;AQUA VEGA A+B 5 L;CANNA-47;2;29,94;53;0;0;46,29
;AQUA FLORES A+B 5 L;CANNA-48;2;24,74;53;0;0;77,04
;SLAB COCO CANNA;CANNA-49;2;3,21;6;0;0;69,78
;TERRA PROFESIONAL 25 L CANNA;CANNA-50;2;4,36;8;0;0;66,74
;PK 13-14  250 ML CANNA;CANNA-51;2;3,85;7,01;0;0;50,39
;BOOST ACCELERATOR 5 L CANNA;CANNA-52;2;129,54;240;0;0;68,43
;CANNA CURE 750 ML;CANNA-53;2;6,47;12;0;0;53,32
;CANNA CURE 1 L;CANNA-54;2;10,55;20;0;0;56,68
;BOOST ACELERATOR 10 L CANNA;CANNA-55;2;244,29;360;0;0;33,97
;PK 13-14 10 L CANNA;CANNA-56;2;49,38;95;0;0;74,89
;SLAB COGR CANNA;CANNA-57;2;3,47;6;0;0;57,06
;CANNA START 1 L;CANNA-58;2;8,06;15;0;0;53,85
;BIORHIZOTONIC 5 L;CANNA-59;2;73,63;130;0;0;60,51
;BUFFERING AGENT 1 L;CANNA-60;2;7,7;15;0;0;61,04
;BIOFLORES 10 L;CANNA-61;2;55,52;95;0;0;55,55
;BIOVEGA 10 L;CANNA-62;2;61,07;100;0;0;48,86
;CANNA COCO A+B 10 L;CANNA-63;2;42,26;82,01;0;0;76,41
;CANNAZYM 10 L CANNA;CANNA-64;2;69,06;120;-3;0;57,96
;TERRA PROFESIONAL PLUS 50 L CANNA;CANNA-65;2;10,87;21;0;0;75,62
;TERRA FLORES 10 L CANNA;CANNA-66;2;38,03;68;0;0;62,56
;COGR FLORES A+B 5 L;CANNA-67;2;24,04;50;0;0;89,06
;COGR VEGA A+B 5 L;CANNA-68;2;23,9;50;0;0;90,17
;RHIZOTONIC 10 L;CANNA-69;2;127,1;210;-2;0;50,2
;FLUSH  5 L CANNA;CANNA-70;2;19,93;40;0;0;82,44
;CARIBE 5 UNID. FEMINIZADAS;CANNABIOGEN-01;1;23,1;45;0;0;77,1
;DESTROYER 5 UNID. FEMINIZADAS;CANNABIOGEN-02;1;30,8;60,01;0;0;77,11
;LESHAZE 5 UNID. FEMINIZADAS;CANNABIOGEN-03;1;17,6;35;0;0;80,8
;SANDSTORM 5 UNID. FEMINIZADAS;CANNABIOGEN-04;1;20,35;40;0;0;78,67
;CARIBE 10 UNID. REGULARES;CANNABIOGEN-05;1;23,1;45;0;0;77,1
;DESTROYER 10 UNID. REGULARES;CANNABIOGEN-06;2;30,29;65;0;0;95,08
;LESHAZE 10 UNID. REGULARES;CANNABIOGEN-07;1;17,6;35;0;0;80,8
;SANDSTORM 10 UNID. REGULARES;CANNABIOGEN-08;1;20,35;40;0;0;78,67
;SUGAR LOAF 10 UNID. REGULARES;CANNABIOGEN-09;1;25,3;50;0;0;79,64
;TASKENTI 10 UNID. REGULARES;CANNABIOGEN-10;1;47,95;95;0;0;80,1
;DELTA 9 500 ML;CANNABIOGEN-11;2;10,54;25;-1;0;96,02
;DELTA 9  5 L;CANNABIOGEN-12;2;84,3;150;0;0;61,76
;CASQUILLO PORTALAMPARA CERAMICA;CASQUILLO-01;6;1,82;3;0;0;36,26
;CHUPACHUPS POP;CHUPACHUP -01;1;0,6;1;0;0;38,33
;CITRUS MAGIC MANDARINA 100 ML AMBIENTADOR;CITRUSMAGIC-01;2;5,75;11;0;0;58,09
;CLAPLETA ANTI-RETORNO 125 MM;CLAPLETA-01;6;11,25;22;0;0;61,6
;CLAPLETA ANTI-RETORNO 150 MM;CLAPLETA-02;6;15,5;29;0;0;54,65
;CLAPLETA ANTI-RETORNO 200 MM;CLAPLETA-03;6;16,71;32;0;0;58,29
;CLAPLETA ANTI-RETORNO 315 MM;CLAPLETA-04;6;40,11;72;0;0;48,34
;CLIPPER ESCONDITE;CLIPER-02;1;1,09;3;0;0;127,52
;PASTILLAS C02;CO2-01;2;7,87;15;0;0;57,56
;B,CUZZ TABS TABLETA ESFERVESCENTES 16 UNID.;CO2-02;2;47,59;85;0;0;47,62
;KIT CO2 COMPLETO EASY SYSTEM PRODAC;CO2-04;2;109,2;185;0;0;40,01
;BOMBONA DESECHABLE CO2 500 GRS;CO2-05;2;14,82;26;0;0;45,01
;UNIS CO2 CONTROLER;CO2-06;2;148,22;260;0;0;44,97
;SENSOR PARA CO2 EVOLUTION BOLA;CO2-07;2;235,95;330;0;0;15,59
;REGULADOR CO2;CO2-08;2;90,75;150;0;0;36,61
;HOTBOX QUEMADOR 2,5 KW;CO2-09;6;320,65;445;0;0;14,7
;COCO U-GROW SMALL LADRILLO 11 L;COCO-01;2;0,9;2;0;0;102,22
;COCO U-GROW XL LADRILLO 70 L;COCO-02;2;6,27;11;-3;0;59,49
;COCO U-GROW POT BOLSA 4 L (13x13x6,5cm);COCO-03;2;1,2;2;0;0;51,67
;COCO SLAB ATAMI 19 L;COCO-04;1;2,89;6;0;0;88,58
;COCO U-GRO 50 L;COCO-05;1;6,44;14;0;0;97,67
;COCO U-GRO SLAB 15 L;COCO-06;2;2,13;4;0;0;70,89
;COCO U-GRO PURE SACO 42 L;COCO-07;2;6,49;13;0;0;82,13
;HORTRILON CORRECTOR DE CARENCIAS;COMPO-01;27;7,87;15;0;0;57,56
;ACARICIDA ARAÐA ROJA 50 ML;COMPO-02;27;11,17;22;0;0;62,76
;COMPO SANA 10 L;COMPO-03;27;2,42;5;-10;0;70,66
;COMPO SANA 5 L;COMPO-04;27;1,4;3;0;0;77,14
;COMPO SANA CACTUS 5 L;COMPO-05;27;2,22;4,01;0;0;49,1
;COMPO SANA ORQUIDEAS 5 L;COMPO-06;27;2,23;4,01;0;0;48,43
;COMPO SANA BONSAI 5 L;COMPO-07;27;2,22;4,01;0;0;49,1
;ABONO ORQUIDEAS COMPO 250 ML;COMPO-08;27;5,33;9,99;0;0;54,97
;ABONO BONSAIS 250 ML;COMPO-09;27;5,37;9,99;0;0;53,82
;ABONO CACTUS 250 ML;COMPO-10;27;4,95;9,99;0;0;66,87
;REVITALIZANTE ORQUIDEAS 250 ML;COMPO-11;27;6,66;13;0;0;61,26
;NITROPHOSKA 1KG NOVA-TEC;COMPO-12;27;4,78;9,99;0;0;72,8
;AGROSIL ESTIMULANTE DE RAICES 700 G;COMPO-13;27;11,04;22;0;0;64,67
;SEMILLAS CESPED RESISTENTE 1 KG;COMPO-14;27;15,5;30;0;0;75,94
;AXORIS INSECTICIDA EFECTIVIDAD PISTOLA 750 ML;COMPO-15;27;13,27;20;0;0;24,57
;AXORIS INSECTICIDA GERANIOS PISTOLA 750 ML;COMPO-16;27;13,45;20;0;0;22,9
;CEBO HORMIGAS TRAMPA DUPLO;COMPO-17;27;7,79;15;0;0;59,18
;ANTIHORMIGAS COMPO 200 GRS;COMPO-18;27;6,27;12;0;0;58,21
;ANTIHORMIGAS PISTOLA 750 ML;COMPO-19;27;11,83;20;0;0;39,73
;ANTILIMACOS COMPO 400 GRS;COMPO-20;27;7,76;15;0;0;59,79
;INSECTICIDA NATURAL PISTOLA 750 ML;COMPO-21;27;11,93;20;0;0;38,56
;INSECTOS DE SUELO 250 GRS;COMPO-22;27;8,19;16;-3;0;61,42
;FUNGICIDA POLIVALENTE PISTOLA 750 ML;COMPO-23;27;13,73;20;0;0;20,39
;AZUFRE 450 GRS;COMPO-24;27;8,13;16;0;0;62,61
;LAC-BALSAM PASTA CICATRIZANTE;COMPO-25;27;14,2;27;0;0;57,11
;CONTROLADOR EVOLUTION TEMPERATURA & HUMEDAD FAN SP;CONTROL CLI-01;2;145,2;230;0;0;30,91
;FAN CONTROLER PRIMA KLIMA KLC 2 M;CONTROL CLI-02;2;66,55;115;0;0;42,81
;CLI-MATE CONTROLER 12 AMP.;CONTROL CLI-04;2;102,73;189,99;0;0;52,85
;CONTROLADOR ELECTRONICO TRIC 16 AMP.;CONTROL CLI-05;6;309,58;499;0;0;33,21
;HUMICON;CONTROL CLI-06;6;21,78;42;0;0;59,37
;TEMPCON;CONTROL CLI-07;6;16,33;32;0;0;61,97
;FAN CONTROLLER HUMEDAD + DOBLE PRESION;CONTROL CLI-08;2;110,37;180;0;0;34,78
;FAN CONTROLER DOBLE PRESION;CONTROL CLI-09;2;72;135;0;0;54,96
;CORONA MANGUITO 200 MM;CORONA-01;2;4,6;9;0;0;61,74
;CORONA MANGUITO 250 MM;CORONA-02;2;3,9;9;0;0;90,77
;CORONA MANGUITO 315 MM;CORONA-03;2;6,7;16;0;0;97,31
;CORONA MANGUITO 150 MM;CORONA-04;2;4,24;8;0;0;55,9
;CORONA MANGUITO 125 MM;CORONA-05;2;3,39;6;0;0;46,31
;LA DIVA 3 UNID. FEMINIZADAS;DELICIOUS S-01;1;12,85;25;0;0;76,89
;IL DIAVOLO 3 UNID. FEMINIZADAS;DELICIOUS S-02;1;12,33;24;0;0;76,97
;LA MUSA 3 UNID. FEMINIZADAS;DELICIOUS-03;1;13,3;22;0;0;50,38
;BIDON AZUL CON TAPA 65 L;DEPOSITO-01;1;17,5;38,01;0;0;79,49
;BIDON AZUL CON TAPA 128 L;DEPOSITO-02;1;27;60;-1;0;83,67
;DEPOSITO 40 L;DEPOSITO-03;2;25,41;48;0;0;56,12
;DEPOSITO NEGRO HORIZONTAL 90 L 72x42x30 CM;DEPOSITO-04;2;11,74;23;0;0;61,93
;DEPOSITO NEGRO HORIZONTAL 180 L 94x63x41 CM;DEPOSITO-05;2;42,23;75;0;0;46,77
;DEPOSITO NEGRO HORIZONTAL 250 L 94x63x57 CM;DEPOSITO-06;2;48,28;85;0;0;45,51
;DEPOSITO CUADRADO VERDE 200 L (67x67);DEPOSITO-07;6;27,56;62;0;0;85,92
;DEPOSITO CUADRADO VERDE 300 L (77x62);DEPOSITO-08;6;32,4;72;0;0;83,64
;DEPOSITO FLEX-TANK 50 LTS (20x40 CMS);DEPOSITO-09;6;22,48;43;0;0;58,1
;DEPOSITO PALET 1000 LTS;DEPOSITO-10;6;115;236;-4;0;69,6
;DEPOSITO REDONDO VERDE 200 L (69x80 CM);DEPOSITO-11;6;16,99;40;0;0;94,59
;DEPOSITO REDONDO VERDE 300 L (81x80 CM);DEPOSITO-12;6;25,2;58;0;0;90,2
;DEPOSITO REDONDO VERDE 500 L (94x101 CM);DEPOSITO-13;6;68,63;130;0;0;56,55
;DESHUMIDIFICADOR CORNWALL  12 L/DIA;DESHUMIDIFICADOR-01;2;111,59;200;0;0;48,12
;DESHUMIDIFICADOR 6105  105 LTS/DIA;DESHUMIDIFICADOR-02;6;696,3;1.200,01;-1;0;42,43
;DESHUMIDIFICADOR PURE FACTORY;DESHUMIDIFICADOR-03;2;59,9;110;0;0;51,77
;MOBY DICK 5 UNID.;DINAFEM-01;2;28,27;55;0;0;76,87
;POWER KUSH 5 UNID.;DINAFEM-02;2;18;35;0;0;76,78
;ROYAL HAZE 5 UNID.;DINAFEM-03;2;20,04;39;0;0;76,9
;SUPER SILVER 5 UNID.;DINAFEM-04;2;18;35;0;0;76,78
;CALIFORNIA HASHPLANT 5 UNID.;DINAFEM-05;2;24,67;48;0;0;76,9
;SANTA SATIVA 5 UNID.;DINAFEM-06;2;19,54;38,01;0;0;76,82
;SHARK ATTACK 5 UNID.;DINAFEM-07;2;16,96;33;0;0;76,89
;CRITICAL + 5 UNID.;DINAFEM-08;2;23,13;45;0;0;76,87
;BLUE WIDOW 5 UNID.;DINAFEM-09;2;20,56;40;0;0;76,85
;MOBY HASH 5 UNID.;DINAFEM-10;1;25,45;49,01;0;0;75,05
;BLUE WIDOW 3 UNID.;DINAFEM-11;2;12,85;25;0;0;76,89
;SANTA SATIVA 10 UNID.;DINAFEM-12;2;38,55;75;0;0;76,86
;BLUE HASH  5 UNID.;DINAFEM-13;2;22,62;44;0;0;76,83
;WHITE WIDOW 5 UNID.;DINAFEM-14;2;20,56;40;0;0;76,85
;WHITE WIDOW 3 UNID.;DINAFEM-15;2;12,85;25;0;0;76,89
;MOBY DICK 3 UNID.;DINAFEM-16;2;16,96;33;0;0;76,89
;ROYAL HAZE 3 UNID.;DINAFEM-17;2;12,33;24;0;0;76,97
;CRITICAL + 3 UNID.;DINAFEM-18;2;14,39;28;0;0;76,86
;SANTA SATIVA 3 UNID.;DINAFEM-19;2;11,83;23;0;0;76,75
;SUPER SILVER 3 UNID.;DINAFEM-20;2;10,79;21;0;0;76,92
;SHARK ATTACK 3 UNID.;DINAFEM-21;2;10,28;20;0;0;76,85
;MOBY HASH 3 UNID.;DINAFEM-22;1;13,88;30;0;0;96,47
;CALIFORNIA HASHPLANT 3 UNID.;DINAFEM-23;2;14,9;29;0;0;76,91
;BLUE HASH 3 UNID.;DINAFEM-24;2;13,88;27,01;0;0;76,87
;POWER KUSH 3 UNID.;DINAFEM-25;2;10,79;21;0;0;76,92
;DIESEL 3 UNID.;DINAFEM-26;2;10,28;20;0;0;76,85
;INDUSTRIAL PLANT 3 UNID.;DINAFEM-27;2;15,42;30;0;0;76,85
;BLUE FRUIT 3 UNID.;DINAFEM-28;1;9,22;21;0;0;107,05
;ROADRUNNER 3 UNID.;DINAFEM-29;2;6,68;13;0;0;76,95
;ROADRUNNER 5 UNID.;DINAFEM-30;2;10,79;21;0;0;76,92
;DIESEL 5 UNID.;DINAFEM-32;2;16,44;32;0;0;76,95
;INDUSTRIAL PLANT 5 UNID.;DINAFEM-33;2;25,19;49,01;0;0;76,86
